Unnamed: 0,Venue,City,Country,Date,Year,State,Setlist,Set Opener,Latitude,Longitude
1422,Giant's Stadium,East Rutherford,USA,1993-06-05,1993,NJ,"['hell in a bucket', 'sugaree', 'wang dang doodle', 'peggyo', 'eternity', 'candyman', 'music never stopped', 'easy answers', 'music never stopped', 'scarlet begonias', 'fire on the mountain', 'long way to go home', 'crazy fingers', 'estimated prophet', 'drums', 'space', 'the other one', 'stella blue', 'one more saturday night', 'box of rain']",hell in a bucket,40.833989,-74.0970865
1423,Giant's Stadium,East Rutherford,USA,1993-06-06,1993,NJ,"['here comes sunshine', 'minglewood blues', 'ramble on rose', 'broken arrow', 'when i paint my masterpiece', 'lazy river road', 'let it grow', 'bertha', ""good lovin'"", ""uncle john's band"", ""playin' in the band"", 'drums', 'space', 'corina', 'attics of my life', ""throwin' stones"", 'not fade away', 'liberty']",here comes sunshine,40.833989,-74.0970865
1424,The Palace,Auburn Hills,USA,1993-06-08,1993,MI,"['picasso moon', 'althea', 'queen jane', 'it must have been the roses', ""it's all over now"", 'bird song', ""truckin'"", 'new speedway boogie', 'that would be something', 'long way to go home', 'saint of circumstance', ""he's gone"", 'drums', 'space', 'the last time', 'standing on the moon', 'lovelight', 'i fought the law']",picasso moon,42.6875323,-83.2341028
1425,The Palace,Auburn Hills,USA,1993-06-09,1993,MI,"['help on the way', 'slipknot!', ""franklin's tower"", 'little red rooster', 'loose lucy', 'easy answers', 'bertha', 'china cat sunflower', 'i know you rider', 'women are smarter', 'wave to the wind', 'terrapin station', 'drums', 'space', 'i need a miracle', 'wharf rat', 'around and around', 'liberty']",help on the way,42.6875323,-83.2341028
1426,Buckeye Lake Music Center,Hebron,USA,1993-06-11,1993,OH,"['jack straw', 'foolish heart', 'the same thing', 'lazy river road', ""tom thumb's blues"", 'masterpiece', 'so many roads', 'promised land', 'eyes of the world', 'playing in the band', ""uncle john's band"", 'corina', 'drums', 'space', 'the wheel', 'watchtower', 'black peter', 'sugar magnolia', 'brokedown palace']",jack straw,39.9617305,-82.4912676
1427,Rich Stadium,Orchard Park,USA,1993-06-13,1993,NY,"['touch of grey', 'minglewood blues', 'loser', 'me and my uncle', 'mexicali blues', 'broken arrow', 'tennessee jed', 'cassidy', 'deal', 'samson and delilah', 'lazy river road', 'looks like rain', 'long way to go home', ""truckin'"", 'drums', 'space', 'the other one', 'the days between', 'johnny b goode', 'i fought the law']",touch of grey,42.7670376,-78.7435517
1430,Soldiers Field,Chicago,USA,1993-06-18,1993,IL,"['hell in a bucket', 'sugaree', ""walkin' blues"", 'stagger lee', 'queen jane', 'row jimmy', 'music never stopped', 'box of rain', 'aiko aiko', ""playin' in the band"", ""uncle john's band"", 'drums', 'space', 'watchtower', 'china doll', 'lovelight', 'liberty']",hell in a bucket,41.8755616,-87.6244212
1431,Soldiers Field,Chicago,USA,1993-06-19,1993,IL,"['touch of grey', 'little red rooster', 'lazy river road', 'me and my uncle', ""maggie's farm"", 'broken arrow', 'deal', 'china cat sunflower', 'i know you rider', 'long way to go home', ""truckin'"", 'smokestack lightning', 'drums', 'space', 'the other one', 'standing on the moon', ""throwin' stones"", 'one more saturday night', 'rain']",touch of grey,41.8755616,-87.6244212
1432,Deer Creek,Noblesville,USA,1993-06-21,1993,IN,"['jack straw', 'friend of the devil', 'spoonful', 'jack a roe', 'black throated wind', 'loose lucy', 'eternity', 'so many roads', 'promised land', 'scarlet begonias', 'fire on the mountain', 'women are smarter', 'ship of fools', 'corina', 'drums', 'space', 'the last time', 'black peter', 'around and around', 'i fought the law']",jack straw,40.0460881,-86.0139854
1433,Deer Creek,Noblesville,USA,1993-06-22,1993,IN,"['help on the way', 'slipknot', ""franklin's tower"", 'wang dang doodle', 'high time', ""it's all over now"", ""tom thumb's blues"", 'tennessee jed', 'picasso moon', 'victim or the crime', 'crazy fingers', 'looks like rain', ""he's gone"", 'drums', 'space', 'i need a miracle', 'the days between', 'johnny b goode', 'liberty']",help on the way,40.0460881,-86.0139854
1434,Deer Creek,Noblesville,USA,1993-06-23,1993,IN,"['let the good times roll', 'hell in a bucket', 'lazy river road', 'memphis blues', 'loser', 'broken arrow', 'easy answers', 'samson and delilah', 'long way to go home', 'wave to the wind', 'terrapin station', 'drums', 'space', 'dark star', 'the wheel', ""good lovin'"", 'lucy in the sky with diamonds']",let the good times roll,40.0460881,-86.0139854
1435,RFK Stadium,Washington,USA,1993-06-25,1993,DC,"['mississippi half step', 'little red rooster', ""tom thumb's blues"", 'althea', 'cassidy', 'cumberland blues', 'promised land', 'china cat sunflower', 'i know you rider', 'saint of circumstance', ""uncle john's band"", 'corina', 'drums', 'space', 'i need a miracle', 'wharf rat', 'sugar magnolia', 'the weight']",mississippi half step,38.8950982,-77.0363849
